key,name,category,store_name,url,count,min_price,max_price,avg_price,first_date,last_date,first_price,last_price,delta_cop,delta_pct
https://www.exito.com/vino-frizzante-rose-jp-chenet-250-mililitro-3001361/p,Aperitivo JP CHENET lata fizzy rose (250  ml),licores,Éxito,https://www.exito.com/vino-frizzante-rose-jp-chenet-250-mililitro-3001361/p,3,10800.00,10800.00,10800.00,2026-04-23,2026-04-23,10800.00,10800.00,0.00,0.0000
https://www.exito.com/whisky-blended-scotch-the-damarcus-700-ml-3138887/p,Whisky THE DAMARCUS Blended Scotch  (700  ml),licores,Éxito,https://www.exito.com/whisky-blended-scotch-the-damarcus-700-ml-3138887/p,2,42850.00,42850.00,42850.00,2026-04-23,2026-04-23,42850.00,42850.00,0.00,0.0000
https://www.exito.com/whisky-something-special-x-750-ml-275476/p,Whisky SOMETHING especial blended Scotch   (750  ml),licores,Éxito,https://www.exito.com/whisky-something-special-x-750-ml-275476/p,2,65365.00,65365.00,65365.00,2026-04-23,2026-04-23,65365.00,65365.00,0.00,0.0000
https://www.exito.com/whisky-something-special-x-1000-ml-327649/p,Whisky SOMETHING especial blended Scotch   (1000  ml),licores,Éxito,https://www.exito.com/whisky-something-special-x-1000-ml-327649/p,2,91710.00,91710.00,91710.00,2026-04-23,2026-04-23,91710.00,91710.00,0.00,0.0000
https://www.exito.com/whisky-something-somet-pack-750-ml-3227983/p,Whisky SOMETHING  + 1 botella something 200ml  (750  ml),licores,Éxito,https://www.exito.com/whisky-something-somet-pack-750-ml-3227983/p,2,76900.00,76900.00,76900.00,2026-04-23,2026-04-23,76900.00,76900.00,0.00,0.0000
https://www.exito.com/whisky-passport-selection-spirit-drink-700-ml-3226562/p,Whisky PASSPORT selection spirit drink  (700  ml),licores,Éxito,https://www.exito.com/whisky-passport-selection-spirit-drink-700-ml-3226562/p,2,55900.00,55900.00,55900.00,2026-04-23,2026-04-23,55900.00,55900.00,0.00,0.0000
https://www.exito.com/whisky-old-parr-12-anos-750-ml-783448/p,Whisky OLD PARR 12 años 12 Años (750  ml),licores,Éxito,https://www.exito.com/whisky-old-parr-12-anos-750-ml-783448/p,2,155900.00,155900.00,155900.00,2026-04-23,2026-04-23,155900.00,155900.00,0.00,0.0000
https://www.exito.com/whisky-old-parr-500-ml-822105/p,Whisky OLD PARR 12 años 12 Años (500  ml),licores,Éxito,https://www.exito.com/whisky-old-parr-500-ml-822105/p,2,105800.00,105800.00,105800.00,2026-04-23,2026-04-23,105800.00,105800.00,0.00,0.0000
https://www.exito.com/whisky-old-parr-12-anos-1000-ml-331443/p,Whisky OLD PARR 12 años 12 Años (1000  ml),licores,Éxito,https://www.exito.com/whisky-old-parr-12-anos-1000-ml-331443/p,2,196900.00,196900.00,196900.00,2026-04-23,2026-04-23,196900.00,196900.00,0.00,0.0000
https://www.exito.com/whisky-monkey-monkey-shoulder-700-ml-180231/p,Whisky MONKEY SHOULDER The Original Blended Malt Scotch  (700  ml),licores,Éxito,https://www.exito.com/whisky-monkey-monkey-shoulder-700-ml-180231/p,2,162100.00,162100.00,162100.00,2026-04-23,2026-04-23,162100.00,162100.00,0.00,0.0000
https://www.exito.com/whisky-double-cask-mature-12yo-146458/p,Whisky MACALLAN Single Malt Scotch 12 años (700  ml),licores,Éxito,https://www.exito.com/whisky-double-cask-mature-12yo-146458/p,2,395900.00,395900.00,395900.00,2026-04-23,2026-04-23,395900.00,395900.00,0.00,0.0000
https://www.exito.com/whisky-blended-scoth-king-of-queens-750-ml-3098246/p,Whisky KING OF QUEENS Blended Scoth botella  (750  ml),licores,Éxito,https://www.exito.com/whisky-blended-scoth-king-of-queens-750-ml-3098246/p,2,56600.00,56600.00,56600.00,2026-04-23,2026-04-23,56600.00,56600.00,0.00,0.0000
https://www.exito.com/whisky-blended-scoth-king-of-queens-1000-ml-3098247/p,Whisky KING OF QUEENS Blended Scoth 1L  (1000  ml),licores,Éxito,https://www.exito.com/whisky-blended-scoth-king-of-queens-1000-ml-3098247/p,2,71400.00,71400.00,71400.00,2026-04-23,2026-04-23,71400.00,71400.00,0.00,0.0000
https://www.exito.com/whisky-johnnie-walker-red-1000-ml-331440/p,Whisky JOHNNIE WALKER. red label 8 Años (1000  ml),licores,Éxito,https://www.exito.com/whisky-johnnie-walker-red-1000-ml-331440/p,2,99900.00,99900.00,99900.00,2026-04-23,2026-04-23,99900.00,99900.00,0.00,0.0000
https://www.exito.com/whisky-black-label-12-anos-446479/p,Whisky JOHNNIE WALKER. black label 12 Años (700  ml),licores,Éxito,https://www.exito.com/whisky-black-label-12-anos-446479/p,2,158800.00,158800.00,158800.00,2026-04-23,2026-04-23,158800.00,158800.00,0.00,0.0000
https://www.exito.com/whiskey-tennessee-honey-jack-daniels-700-ml-3112545/p,Whisky JACK DANIELS Tennessee Honey  (700  ml),licores,Éxito,https://www.exito.com/whiskey-tennessee-honey-jack-daniels-700-ml-3112545/p,2,130500.00,130500.00,130500.00,2026-04-23,2026-04-23,130500.00,130500.00,0.00,0.0000
https://www.exito.com/whisky-jack-fire-jack-daniels-1000-ml-3146463/p,Whisky JACK DANIELS Tennessee Fire  (700  ml),licores,Éxito,https://www.exito.com/whisky-jack-fire-jack-daniels-1000-ml-3146463/p,2,129800.00,129800.00,129800.00,2026-04-23,2026-04-23,129800.00,129800.00,0.00,0.0000
https://www.exito.com/whiskey-tennessee-jack-daniels-700-ml-3112733/p,Whisky JACK DANIELS Old No. 7 Thennessee Sour Mash  (700  ml),licores,Éxito,https://www.exito.com/whiskey-tennessee-jack-daniels-700-ml-3112733/p,2,129800.00,129800.00,129800.00,2026-04-23,2026-04-23,129800.00,129800.00,0.00,0.0000
https://www.exito.com/whisky-blended-scotch-x-750-ml-935833/p,Whisky HAIG SUPREME Highland  (750  ml),licores,Éxito,https://www.exito.com/whisky-blended-scotch-x-750-ml-935833/p,2,112000.00,112000.00,112000.00,2026-04-23,2026-04-23,112000.00,112000.00,0.00,0.0000
https://www.exito.com/whisky-grants-litro-8-anos-x-1000ml-878733/p,Whisky GRANTS Blended Scotch 1L  (1000  ml),licores,Éxito,https://www.exito.com/whisky-grants-litro-8-anos-x-1000ml-878733/p,2,93200.00,93200.00,93200.00,2026-04-23,2026-04-23,93200.00,93200.00,0.00,0.0000
https://www.exito.com/whisky-blended-scotch-garrafa-grant-s-1750-ml-929778/p,Whisky GRANTS Blended Scotch  (1750  ml),licores,Éxito,https://www.exito.com/whisky-blended-scotch-garrafa-grant-s-1750-ml-929778/p,2,169700.00,169700.00,169700.00,2026-04-23,2026-04-23,169700.00,169700.00,0.00,0.0000
https://www.exito.com/whisky-12-aos-198992/p,Whisky GLENLIVET single malt 12 años (700  ml),licores,Éxito,https://www.exito.com/whisky-12-aos-198992/p,2,205900.00,205900.00,205900.00,2026-04-23,2026-04-23,205900.00,205900.00,0.00,0.0000
https://www.exito.com/whisky-glenlivet-founders-x-700-ml-849372/p,Whisky GLENLIVET founders reserve single malt   (700  ml),licores,Éxito,https://www.exito.com/whisky-glenlivet-founders-x-700-ml-849372/p,2,169900.00,169900.00,169900.00,2026-04-23,2026-04-23,169900.00,169900.00,0.00,0.0000
https://www.exito.com/whisky-caribbean-reserve-glenlivet-700-ml-3145702/p,Whisky GLENLIVET caribbean reserve single malt   (700  ml),licores,Éxito,https://www.exito.com/whisky-caribbean-reserve-glenlivet-700-ml-3145702/p,2,178900.00,178900.00,178900.00,2026-04-23,2026-04-23,178900.00,178900.00,0.00,0.0000
https://www.exito.com/whisky-glenfiddich-15-anos-x-750ml-28260/p,Whisky GLENFIDDICH Single Malt Scotch 15 años (750  ml),licores,Éxito,https://www.exito.com/whisky-glenfiddich-15-anos-x-750ml-28260/p,2,374500.00,374500.00,374500.00,2026-04-23,2026-04-23,374500.00,374500.00,0.00,0.0000
